,Date,Open,High,Low,Close,Adj Close,Volume,datetime,adj,Adj Open,Adj High,Adj Low,movement,20_Day_moving_av,20_Day_stddev,126_Day_moving_av,momentum_factor,daily_spread,vol_change,Target-future_week_gain,Bollinger_upper,Bollinger_lower,_bollinger_linear_metric,_bollinger_buy_flag,_bollinger_sell_flag,Exp_mav_sh,Exp_mav_med,Exp_mav_lon,Exp_mav-signal,CMFV,CMFV-rolling,CMFV-signal,MACD,MACD-signal,_MACD_range,MACD_finta,MACD-signal_finta,rel_strength_ind,awesome_oscil,DEMA,TEMA,TRIX,TRIX-signal,TRIMA,VAMA,kaufman_eff,Kaufman_AMA,ZLEMA,WMA,HMA,EVWMA,PPO,PPO_signal,PPO_histo
10,2015-12-10,3.5,3.51,3.49,3.5,3.2411790000000003,2123100,2015-12-10,-0.25882099999999975,3.2411790000000003,3.251179,3.2311790000000005,0.0,,,,,0.006170594095543496,,-0.03142837837712761,,,,False,False,3.239854212995925,3.2333924320142575,3.2286521883682218,2.0,0.0,,,,,,MACD,SIGNAL,65.79972836783145,,3.2507358495896255,3.2471448216093863,0.11788992790299133,1.084540689232991,,,0.3846121898037602,,,3.240150066666667,,0.0,PPO,SIGNAL,HISTO
11,2015-12-11,3.5,3.52,3.43,3.5,3.2411790000000003,385110,2015-12-11,-0.25882099999999975,3.2411790000000003,3.2611790000000003,3.1711790000000004,0.023391783321940147,,,,,0.02776767342994628,,-0.03142837837712761,,,,False,False,3.2403852838231515,3.2350646602615423,3.2306879918594684,2.0,213949.99999999956,,,,,,MACD,SIGNAL,65.79972836783145,,3.2499965428468824,3.2452830786648574,0.11274788083821247,1.0288538186511027,,,0.3846121898037602,,,3.2422079555555556,,0.0,PPO,SIGNAL,HISTO
12,2015-12-14,3.45,3.45,3.39,3.42,3.167095,418898,2015-12-14,-0.2529049999999997,3.1970950000000005,3.1970950000000005,3.1370950000000004,0.005882345468138983,,,,,0.018944805886782698,,-0.011695891660970074,,,,False,False,3.2110308313417044,3.220679918677525,3.220646176508547,-1.0,-3.1004680304628562e-09,,,,,,MACD,SIGNAL,44.04167992725889,,3.2211112656336254,3.205963615735201,0.10223719295591918,0.946573075252421,,,0.03225604191195366,,3.1856160000000004,3.2280085111111116,,0.0,PPO,SIGNAL,HISTO
13,2015-12-15,3.4,3.45,3.35,3.4,3.148574,1902953,2015-12-15,-0.2514259999999999,3.148574,3.1985740000000003,3.098574,0.0,,,,,0.03176040963305931,,-0.011764690936277826,,,,False,False,3.186028505941718,3.2055953066908254,3.209538398892302,-1.0,-8.450808941518054e-09,,,,,,MACD,SIGNAL,40.44132050416884,,3.1940075156376597,3.1725240400298285,0.08833512021509445,0.8506496044929321,,,0.12499915636874116,,3.1663826538461537,3.2105164444444445,,0.0,PPO,SIGNAL,HISTO
14,2015-12-16,3.42,3.52,3.4,3.4,3.148574,78648,2015-12-16,-0.2514259999999999,3.168574,3.268574,3.148574,0.0029496890084903336,,,,,0.038112491559671176,,-0.011764690936277826,,,,False,False,3.1710396560328675,3.1937751609466534,3.200333886965142,-1.0,-78647.99999999999,,,,,,MACD,SIGNAL,40.44132050416884,,3.175219537092881,3.1526659997373496,0.07334918978849791,0.752571796802434,,3.2066051606243358,0.24137982394733412,,3.1500027338590435,3.1944649111111114,,0.0,PPO,SIGNAL,HISTO
15,2015-12-17,3.38,3.51,3.35,3.39,3.139314,1348395,2015-12-17,-0.25068599999999996,3.129314,3.259314,3.099314,0.0,,,,,0.050966548742814415,,-0.017699408214660893,,,,False,False,3.158345812546959,3.182567460021638,3.1912807705654873,-1.0,-674197.4999999981,,,,,,MACD,SIGNAL,38.61107319594437,,3.1589292056022846,3.136980355016856,0.058027035972668714,0.649874996312955,,3.1926781574084373,0.7272691575206626,,3.134070615143165,3.179648222222222,,0.0,PPO,SIGNAL,HISTO
16,2015-12-18,3.375,3.39,3.375,3.39,3.139314,159131,2015-12-18,-0.25068599999999996,3.124314,3.139314,3.124314,0.002958735842492112,,,,,0.0047781139446389,,-0.017699408214660893,,,,False,False,3.150731798729987,3.1737174842800497,3.1836849702715355,-1.0,159131.0,,,,,,MACD,SIGNAL,38.61107319594437,,3.147876584729599,3.1286666624989237,0.04325431455937181,0.541926517936132,,3.190711959295267,0.6666606674705572,,3.1181061925515383,3.167300977777778,,0.0,PPO,SIGNAL,HISTO
17,2015-12-21,3.38,3.4,3.38,3.38,3.130053,366421,2015-12-21,-0.2499469999999997,3.130053,3.150053,3.130053,0.005952373300355012,,,,,0.0063896681621685054,,-0.01775177608813665,,,,False,False,3.1424594390975065,3.1648243835637517,3.1759451005241854,-1.0,-366421.0,,,,,,MACD,SIGNAL,36.685352029033176,,3.137164621496428,3.120418747764202,0.029060963571177444,0.4185588421551025,,3.182132830479947,0.7777777777777755,,3.0889672697078074,3.155776777777778,,0.0,PPO,SIGNAL,HISTO
18,2015-12-22,3.375,3.4,3.35,3.36,3.111532,990132,2015-12-22,-0.2484679999999999,3.126532,3.151532,3.101532,0.0,,,,,0.01606925463083774,,-0.0029763473427237654,,,,False,False,3.130087709575115,3.154010055965427,3.166750326734709,-1.0,-594079.200000007,,,,,,MACD,SIGNAL,33.126955912002714,,3.1233432997659936,3.1075987717394833,0.015037546505027333,0.2577007344901055,,3.1459609746328834,0.7499999999999978,,3.068276400142613,3.1426062666666668,3.117868562745099,0.0,PPO,SIGNAL,HISTO
19,2015-12-23,3.355,3.38,3.34,3.36,3.111532,190583,2015-12-23,-0.2484679999999999,3.106532,3.131532,3.091532,0.009009160924199351,3.18561605,0.05416443805329239,,,0.01285540370467025,,-0.008928720643078635,3.291778348584453,3.079453751415547,-1.367761813149596,False,False,3.1226651543646904,3.145415354612183,3.158941587378066,-1.0,0.0,24838838.804870088,,,,,MACD,SIGNAL,33.126955912002714,,3.1140977752499994,3.1010197403514845,0.0017236200841202222,0.036781300055870894,,3.1371690674520734,1.0,,3.051372412926011,3.1323168,3.1050362357026144,0.012877886785977271,PPO,SIGNAL,HISTO
20,2015-12-24,3.37,3.37,3.3,3.33,3.08375,21913,2015-12-24,-0.24624999999999986,3.1237500000000002,3.1237500000000002,3.05375,0.0,3.18237485,0.05828081374668954,,,0.022699635184434627,,0.009009160924199351,3.2966052449435113,3.0681444550564887,-1.6922352942541377,False,False,3.107098751139395,3.1329674722395526,3.1483935681695336,-1.0,-3130.428571428492,1272631.7191558145,,,,,MACD,SIGNAL,28.344048958155994,,3.098036587441578,3.084714591894627,-0.01169289888324738,-0.3339503850954734,,3.134111896508868,1.0,3.1403422500000002,3.035582267074929,3.1193519777777774,3.093403756454248,0.017212174631299877,PPO,SIGNAL,HISTO
21,2015-12-28,3.33,3.33,3.33,3.33,3.08375,0,2015-12-28,-0.24624999999999986,3.08375,3.08375,3.08375,0.0030122078823506633,3.17913365,0.06194678012810249,,,0.0,,0.0,3.3005493390510807,3.057717960948919,-1.5397676812701406,False,False,3.097759127753923,3.1230508057078126,3.1393878222839557,-1.0,,,,,,,MACD,SIGNAL,28.344048958155994,,3.0872394399249146,3.0758985736562807,-0.024625604087392113,-1.0718460980319189,,3.12632606363424,1.0,3.115190138888889,3.0205052756244,3.109885577777778,3.083859389052288,0.0,PPO,SIGNAL,HISTO
22,2015-12-29,3.33,3.33,3.32,3.32,3.074489,4033,2015-12-29,-0.24551100000000003,3.084489,3.084489,3.074489,-0.008955374949512856,3.17404035,0.06622712736308128,,,0.0032525730292091567,,-0.0030118826250475524,3.303845519631639,3.0442351803683607,-1.5031808559991315,False,False,3.0884510031432804,3.113280772469373,3.1304002663988904,-1.0,-4033.0,,,,,,MACD,SIGNAL,26.845582656228842,,3.0768697858122818,3.0673315766442575,-0.037062338025050254,-3.407019283117372,,3.125653086752705,1.0,3.0971007438271605,3.0058872359705164,3.100419088888889,3.075237205392157,0.0009683421602672625,PPO,SIGNAL,HISTO
23,2015-12-30,3.36,3.37,3.35,3.35,3.102271,150309,2015-12-30,-0.2477290000000001,3.112271,3.122271,3.102271,0.0060059991892986745,3.1698730999999998,0.06805730559485572,,,0.006446890036363689,,-0.014925195123185513,3.303265418965917,3.0364807810340824,-0.9933114367241369,False,False,3.093979028079859,3.1110683702011803,3.1265247345142053,-1.0,-150309.0,,,,,,MACD,SIGNAL,37.51731829485837,,3.0802063109038507,3.077018671104595,-0.0476712262844026,52.897791270724504,,3.1135259281533774,0.45454366968694293,3.0976921831989133,3.000662463552176,3.098155333333333,3.0715918148692807,0.040233849359972956,PPO,SIGNAL,HISTO
24,2015-12-31,3.35,3.35,3.3,3.33,3.08375,27313,2015-12-31,-0.24624999999999986,3.1037500000000002,3.1037500000000002,3.05375,-0.008928720643078635,3.1633907,0.0698443688308438,,,0.01621402513173904,,-0.009008836643696816,3.3002856629084536,3.026495737091546,-1.140259427254352,False,False,3.089887405215314,3.105583976708136,3.1206574767333075,-1.0,5462.600000000097,,,,,,MACD,SIGNAL,33.96055554579519,,3.076534381223333,3.075435283427869,-0.05727058480385658,4.683344687910542,,3.1106352632303755,0.5384589826228502,3.095585154453483,3.000632301743478,3.0932163333333333,3.0696389454248365,0.04760693935577418,PPO,SIGNAL,HISTO
25,2016-01-04,3.34,3.38,3.34,3.36,3.111532,740396,2016-01-04,-0.2484679999999999,3.091532,3.131532,3.091532,0.009009160924199351,3.1545932,0.06424838117772227,,,0.01285540370467025,,-0.0029763473427237654,3.2805200271083357,3.028666372891664,-0.6702301164738313,False,False,3.098545257897903,3.1067771876252235,3.1194105472407814,-1.0,0.0,,,-0.053544775641027,,,MACD,SIGNAL,42.73108520072847,,3.084508969166786,3.089051347412174,-0.06484376590018824,2.845084134963416,,3.1095087046701653,0.2000000000000013,3.0961306180662107,3.0089274002209083,3.0950684888888884,3.07288615874183,0.2491729003265443,PPO,SIGNAL,HISTO
26,2016-01-05,3.36,3.36,3.31,3.33,3.08375,174848,2016-01-05,-0.24624999999999986,3.11375,3.11375,3.06375,0.0060422891731744125,3.14625875,0.0619304855070969,,,0.016214025131738894,,-0.003003161734900821,3.26764250159391,3.02487499840609,-1.0093373156720449,False,False,3.092627148681614,3.1021605878468366,3.114553867286207,-1.0,-34969.59999999938,,,-0.056453544871796435,,,MACD,SIGNAL,37.38426112365182,,3.0806657654676974,3.08491580814644,-0.07163388718440188,2.198059790692589,,3.103403120804098,0.3333333333333333,3.0952596597726307,3.0100090037970086,3.0919816222222223,3.0760350482026144,0.2944362202912141,PPO,SIGNAL,HISTO
27,2016-01-06,3.31,3.35,3.3,3.31,3.065229,366004,2016-01-06,-0.24477100000000007,3.065229,3.105229,3.0552289999999998,0.0030301354496723703,3.1365352,0.05834483261257566,,,0.016311994960246125,,0.012084578346348681,3.2508910719206483,3.0221793280793516,-1.22215107674558,False,False,3.0816678824789467,3.094759955372381,3.107855365293379,-1.0,-219602.3999999974,,,-0.05942171794871953,,,MACD,SIGNAL,34.3027319055027,,3.0716547915412176,3.073765529358554,-0.07819542064876842,1.8737129719052072,,3.091812931353371,0.36841865963444675,3.0927970906044155,3.0080355694275345,3.086219511111111,3.0759299097222224,0.3940705197237432,PPO,SIGNAL,HISTO
28,2016-01-07,3.3,3.31,3.26,3.3,3.055969,506891,2016-01-07,-0.24403099999999966,3.055969,3.0659690000000004,3.015969,0.0,3.1282007499999995,0.05729094037213635,,,0.016361422514430044,,-0.01818179438338537,3.2404909931293866,3.0159105068706125,-1.2607883468278616,False,False,3.071388325699798,3.086989740472732,3.100826366824793,-1.0,304134.5999999964,,,-0.06173690384615593,,,MACD,SIGNAL,32.84499892777991,,3.062299007764257,3.0627189801324675,-0.08461006773518609,1.6812754404234977,,3.0834004305915084,0.3333293339172475,3.0902063355790883,3.0044409858860366,3.0796343555555556,3.072739522140523,0.5226431649710797,PPO,SIGNAL,HISTO
