,Date,Open,High,Low,Close,Adj Close,Volume,datetime,adj,Adj Open,Adj High,Adj Low,movement,20_Day_moving_av,20_Day_stddev,126_Day_moving_av,momentum_factor,daily_spread,vol_change,Target-future_week_gain,Bollinger_upper,Bollinger_lower,_bollinger_linear_metric,_bollinger_buy_flag,_bollinger_sell_flag,Exp_mav_sh,Exp_mav_med,Exp_mav_lon,Exp_mav-signal,CMFV,CMFV-rolling,CMFV-signal,MACD,MACD-signal,_MACD_range,MACD_finta,MACD-signal_finta,rel_strength_ind,awesome_oscil,DEMA,TEMA,TRIX,TRIX-signal,TRIMA,VAMA,kaufman_eff,Kaufman_AMA,ZLEMA,WMA,HMA,EVWMA,PPO,PPO_signal,PPO_histo
0,2009-09-10,3.92,3.99,3.85,3.99,2.82307,16733600,2009-09-10,-1.1669300000000002,2.7530699999999997,2.82307,2.68307,0.012690058521487598,,,,,0.04959140226774403,,-0.07268151338790756,,,,False,False,2.82307,2.82307,2.82307,0.0,16733599.999999998,,,,,,MACD,SIGNAL,,,2.82307,2.82307,,,,,,,,,,0.0,PPO,SIGNAL,HISTO
1,2009-09-11,4.0,4.05,3.89,3.94,2.787694,1998000,2009-09-11,-1.1523059999999998,2.847694,2.897694,2.7376940000000003,0.04232810167777904,,,,,0.05739510864535336,,-0.03299501308249756,,,,False,False,2.80096,2.803416666666667,2.8041185714285715,-1.0,-749250.0000000021,,,,,,MACD,SIGNAL,0.0,,2.7946818518518524,2.790799711934157,-0.1816574447974427,1.0,,,,,,,,0.0,PPO,SIGNAL,HISTO
2,2009-09-14,3.96,3.96,3.7,3.78,2.674488,1968200,2009-09-14,-1.1055119999999996,2.8544880000000004,2.8544880000000004,2.5944880000000006,0.04132252642448087,,,,,0.09721486878983931,,0.005291106185557602,,,,False,False,2.7364334693877552,2.750577049180328,2.754599252971138,-1.0,-757000.0000000047,,,,,,MACD,SIGNAL,0.0,,2.714238039953418,2.6956559410046874,-0.33207746631952495,1.252063583193107,,,,,,,,0.0,PPO,SIGNAL,HISTO
3,2009-09-15,3.78,3.8,3.56,3.63,2.568357,1610100,2009-09-15,-1.0616430000000001,2.7183569999999997,2.7383569999999997,2.498357,-0.01358702540274868,,,,,0.09344495333008604,,0.04683227448520592,,,,False,False,2.6591924448529407,2.6888493902439023,2.69762249410805,-1.0,-670875.0000000013,,,,,,MACD,SIGNAL,0.0,,2.624003138125057,2.5928654703496585,-0.43467987541968356,1.2988188856491365,,,,,,,,0.0,PPO,SIGNAL,HISTO
4,2009-09-16,3.63,3.73,3.62,3.68,2.603734,1089400,2009-09-16,-1.076266,2.553734,2.653734,2.543734,-0.005405508645337584,,,,,0.04224701908873943,,0.02717405080549702,,,,False,False,2.6351386433032613,2.6635294859590672,2.673127129653012,-1.0,99036.36363636603,,,,,,MACD,SIGNAL,13.613737194493083,,2.6001857225836114,2.579366339313148,-0.4451884115829801,1.1963873299111134,,,,,,,,0.0,PPO,SIGNAL,HISTO
5,2009-09-17,3.7,3.71,3.64,3.7,2.617885,2109100,2009-09-17,-1.0821150000000004,2.617885,2.6278849999999996,2.5578849999999997,-0.028871386207884205,,,,,0.026739142475700747,,0.005405126657588217,,,,False,False,2.6278994334049406,2.6511572924798332,2.660345085730618,-1.0,1506500.0000000116,,,,,,MACD,SIGNAL,18.39918591454139,,2.595964569658529,2.586730052164566,-0.423207128435124,1.092681320494234,,,,,,,,0.0,PPO,SIGNAL,HISTO
6,2009-09-18,3.69,3.83,3.69,3.81,2.695714,1192900,2009-09-18,-1.1142859999999999,2.575714,2.715714,2.575714,0.0026314428973173366,,,,,0.05193429273283446,,-0.023622313049529747,,,,False,False,2.655806478706313,2.662433406488395,2.667798065876233,-1.0,852071.4285714285,,,,,,MACD,SIGNAL,38.558606315629376,,2.629630919777645,2.6394572769750138,-0.3742764434825581,0.9752428988266176,,,,,,,,0.0,PPO,SIGNAL,HISTO
7,2009-09-21,3.85,3.85,3.78,3.8,2.688639,1897800,2009-09-21,-1.111361,2.738639,2.738639,2.6686389999999998,0.0,,,,,0.026035477429286823,,-0.021053030920104805,,,,False,False,2.6691638395944426,2.6687311034055288,2.671874245704594,1.0,-813342.8571428607,,,,,,MACD,SIGNAL,37.648072716665226,,2.648595913022001,2.6656839186113843,-0.32536221307045554,0.881754099369915,,,,,,,,0.0,PPO,SIGNAL,HISTO
8,2009-09-22,3.81,3.84,3.77,3.8,2.688639,841000,2009-09-22,-1.111361,2.698639,2.728639,2.658639,0.005291106185557602,,,,,0.026035477429286656,,-0.03421061734208273,,,,False,False,2.677033208867915,2.673329926282436,2.6749610266727113,2.0,-120142.8571428602,,,,,,MACD,SIGNAL,37.648072716665226,,2.6613825367461614,2.6808195065020133,-0.2818592854772886,0.809814588658152,,,,,,2.666626466666666,,0.0,PPO,SIGNAL,HISTO
9,2009-09-23,3.81,3.81,3.77,3.78,2.674488,1030100,2009-09-23,-1.1055119999999996,2.7044880000000004,2.7044880000000004,2.6644880000000004,0.016129344784548864,,,,,0.014956133659975305,,-0.007936472326666041,,,,False,False,2.6760089319096667,2.673589402021258,2.6748781412118645,2.0,-515050.00000001147,,,,,,MACD,SIGNAL,35.69289398885155,,2.6645202593968995,2.6818355721345384,-0.24629427002047558,0.7588861250224243,,,,,,2.6648969555555553,,0.0,PPO,SIGNAL,HISTO
