,Date,Open,High,Low,Close,Adj Close,Volume,datetime,adj,Adj Open,Adj High,Adj Low,movement,20_Day_moving_av,20_Day_stddev,126_Day_moving_av,momentum_factor,daily_spread,vol_change,Target-future_week_gain,Bollinger_upper,Bollinger_lower,_bollinger_linear_metric,_bollinger_buy_flag,_bollinger_sell_flag,Exp_mav_sh,Exp_mav_med,Exp_mav_lon,Exp_mav-signal,CMFV,CMFV-rolling,CMFV-signal,MACD,MACD-signal,_MACD_range,MACD_finta,MACD-signal_finta,rel_strength_ind,awesome_oscil,DEMA,TEMA,TRIX,TRIX-signal,TRIMA,VAMA,kaufman_eff,Kaufman_AMA,ZLEMA,WMA,HMA,EVWMA,PPO,PPO_signal,PPO_histo
0,2010-12-13,2.63,2.69,2.62,2.66,1.585531,101747000,2010-12-13,-1.0744690000000001,1.5555309999999998,1.6155309999999998,1.545531,0.015268104300029376,,,,,0.04414924716073028,,0.0037589930439707363,,,,False,False,1.585531,1.585531,1.585531,0.0,14535285.714286083,,,,,,MACD,SIGNAL,,,1.585531,1.585531,,,,,,,,,,0.0,PPO,SIGNAL,HISTO
1,2010-12-14,2.66,2.66,2.58,2.62,1.561687,57484500,2010-12-14,-1.058313,1.601687,1.601687,1.521687,-0.011321435580569314,,,,,0.05122665425274083,,0.0038176664081855218,,,,False,False,1.5706285,1.5722843333333334,1.5727574285714288,-1.0,0.0,,,,,,MACD,SIGNAL,0.0,,1.5663969259259263,1.563780300411524,-0.21808630339542082,1.0,,,,,,,,0.0,PPO,SIGNAL,HISTO
2,2010-12-15,2.64,2.65,2.61,2.65,1.57957,38329700,2010-12-15,-1.07043,1.5695700000000001,1.57957,1.5395699999999999,0.007604380827595876,,,,,0.025323347493305164,,-0.018867793133574343,,,,False,False,1.5751904897959184,1.5752702622950818,1.5753598539898135,-1.0,38329700.0,,,,,,MACD,SIGNAL,44.68085106382963,,1.5735579143599392,1.5744776458760548,-0.10271415658950957,0.6670154696393162,,,,,,,,0.0,PPO,SIGNAL,HISTO
3,2010-12-16,2.63,2.65,2.62,2.63,1.567649,24554849,2010-12-16,-1.0623509999999998,1.567649,1.587649,1.5576490000000003,-0.02230431105667164,,,,,0.019136936903605208,,-0.0076050187254927525,,,,False,False,1.5717247316176468,1.5726885338753387,1.573000886240029,-1.0,-8184949.666666909,,,,,,MACD,SIGNAL,33.829685460485905,,1.5698490904319995,1.5697119716946875,-0.07479420213052804,0.6154224877182882,,,,,,,,0.0,PPO,SIGNAL,HISTO
4,2010-12-17,2.63,2.69,2.61,2.69,1.603412,68944395,2010-12-17,-1.0865879999999999,1.543412,1.603412,1.523412,0.0074904602036706906,,,,,0.04989360189396117,,-0.04089217244226696,,,,False,False,1.5854683421235252,1.5818280704426464,1.5809350992882947,2.0,68944395.0,,,,,,MACD,SIGNAL,62.921959402437,,1.586254028296515,1.5912618079530627,-0.02930435518842829,0.32455707108094217,,,,,,,,0.0,PPO,SIGNAL,HISTO
5,2010-12-20,2.69,2.69,2.64,2.67,1.591491,13142602,2010-12-20,-1.078509,1.611491,1.611491,1.5614910000000002,0.015208761655191895,,,,,0.031417079958353404,,-0.03370801342891671,,,,False,False,1.587995303168636,1.5844472616011795,1.5833775465180622,2.0,2628520.3999999533,,,,,,MACD,SIGNAL,54.3449294406692,,1.5895827835285126,1.5937504092295287,-0.004019191441321224,0.062190982183559285,,,,,,,,0.0,PPO,SIGNAL,HISTO
6,2010-12-21,2.67,2.67,2.63,2.63,1.567649,16292507,2010-12-21,-1.0623509999999998,1.607649,1.607649,1.567649,0.011538508691951872,,,,,0.025515915871473803,,-0.026616289743431092,,,,False,False,1.5796223940319736,1.5801960697267619,1.580063208282354,-1.0,-16292507.0,,,,,,MACD,SIGNAL,42.01076008683676,,1.5808565994350634,1.5806270191829652,0.0003996235446239197,-0.0085024703803507,,,,,,,,0.0,PPO,SIGNAL,HISTO
7,2010-12-22,2.63,2.64,2.58,2.6,1.549767,21441924,2010-12-22,-1.0502330000000002,1.5797669999999997,1.589767,1.5297669999999999,-0.0038310063398013837,,,,,0.03871549723280987,,-0.011538508691951728,,,,False,False,1.5674762274620897,1.572883392052638,1.57413771605907,-1.0,-7147308.0,,,,,,MACD,SIGNAL,35.502461953899854,,1.5678298803366728,1.563314622718969,-0.007379148645226236,0.19957845903306448,,,,,,,,0.0,PPO,SIGNAL,HISTO
8,2010-12-23,2.58,2.61,2.57,2.61,1.555727,23759761,2010-12-23,-1.0542729999999998,1.5257270000000003,1.555727,1.515727,0.011627959904932017,,,,,0.025711451944974942,,-0.0268196155238034,,,,False,False,1.5627286922607453,1.5689201803751787,1.5707478752693294,-1.0,23759761.0,,,,,,MACD,SIGNAL,38.89998987558883,,1.5619863648178307,1.5570682097843371,-0.016101301728676302,0.5038324770892493,,,,,,1.5701653111111111,,0.0,PPO,SIGNAL,HISTO
9,2010-12-24,2.59,2.6,2.57,2.58,1.537845,4942026,2010-12-24,-1.0421550000000002,1.5478449999999997,1.557845,1.5278449999999997,0.0,,,,,0.01950781775796667,,-0.00387555312791599,,,,False,False,1.5527146643590903,1.5619575360593936,1.5649825133199495,-1.0,-1647341.9999999513,,,,,,MACD,SIGNAL,33.24200678535915,,1.5511746898862306,1.544371862756795,-0.027742938801254818,0.8953947694878504,,,,,,1.5630124666666667,,0.0,PPO,SIGNAL,HISTO
